	1468042607		!AIVDM,1,1,,A,16:RD`001F8dD34AvAg4Wkdj0<>l,0*4C

!AIVDM,1,1,,B,15R?Lb0000`cvs`B4pJ519Bf0D<C,0*5A

!AIVDM,1,1,,B,B8t=uOP09j;4;PTN6C:e?wcV1P06,0*51

!AIVDM,1,1,,A,H6:>FWU@?F10200IIII00050D650,0*50

	1468042608		!AIVDM,1,1,,B,169AOdPP18`eMrPArNTbhgvh2H>R,0*5E

!AIVDM,1,1,,B,B6:CFMP0F2;>is4O1T:t3wd5oP06,0*54

!AIVDM,1,1,,B,B6:WlQ@00:;?1ETO41a9;wd6SP06,0*56

!AIVDM,1,1,,B,H6:V;sm60000000np000004@?540,0*40

!AIVDO,1,1,,,16;31B50008dtfNAuUE<8Slj04b@,0*4F

!AIVDM,1,1,,B,4=LDjh1v1lUSs8dab0B2hoA00L;L,0*2B

!AIVDM,1,1,,A,1815@d@01W`eT42AoM?tTr0j0<=2,0*19

!AIVDM,1,1,,A,169A`J5P008d>HPAv0ITPwvj`<9M,0*65

!AIVDM,1,1,,A,403t=KQv1lUTH`d:WFAtwnW000S:,0*2D

!AIVDM,1,1,,B,15CcwH001N8ebIDAnhJLNqvl04b@,0*31

!AIVDM,1,1,,A,16:F4BPP008dFPFApUqh0?vj0p>p,0*47

!AIVDM,2,1,2,B,56:agA0000000000000d4U9DW;7P00000000001@7P<775kh,0*35

!AIVDM,2,2,2,B,083PCU3kQh000000000000<,2*35

!AIVDM,1,1,,A,16:QhH001<`dQBTAuNJ4OS`h0<<2,0*36

!AIVDM,1,1,,A,16:BAoP01c8dFvVAv@kceq>l0@>t,0*7C

!AIVDM,1,1,,A,B6:W?1000:;2q>4OT9idqGN021Mk,0*0B

!AIVDM,1,1,,A,403t>=iv1lUTH`dr0@AnOcW00H?1,0*79

!AIVDM,1,1,,B,16TO4V000>8dW:lAtpeW4T<f0L;P,0*52

	1468042609		!AIVDM,1,1,,A,169L7P0P1@8e?5RAr8FdOwvh2H>`,0*0C

!AIVDM,1,1,,A,403t>=Qv1lUTI`cptbAstCG00<9g,0*11

!AIVDM,1,1,,A,35Q@=j50008e910AteS`B3dh0000,0*18

!AIVDM,1,1,,B,16:I8F0P008eS7rAsFgqMgvj20SD,0*45

!AIVDM,1,1,,A,16:V6>hP008dFl0ApcMP00Hj1P00,0*37

!AIVDM,1,1,,A,16:cWLUP008dMNPArso00?vj1P06,0*02

!AIVDM,1,1,,B,19t6RnP01W8dei<AttJcfIHl00Sq,0*78

!AIVDM,1,1,,B,B6:CD2P00B;HII4Nr9k<Swd3QP06,0*2D

!AIVDM,1,1,,A,16:j7sAP0q8dCI<Aunj7rnEp0000,0*21

!AIVDM,1,1,,B,B6:lJU@0>:;8D8TOD=nikwdVSP06,0*5D

!AIVDO,1,1,,,16;31B50008dtfdAuUA<8Sll04b@,0*67

!AIVDM,1,1,,A,162??iP01V8e9K0Arpj=L:vf00RK,0*09

!AIVDM,1,1,,A,16:>WTPP3e`d8E0Aw95PCOvj2000,0*41

!AIVDM,2,1,3,B,C6:cuQP002;2bH4O;jBF@0N0f2M0TbM1Sj0000000000S0``,0*45

!AIVDM,2,2,3,B,3TPP,0*71

!AIVDM,2,1,4,B,C6:cuQP002;2bH4O;jBF@0N0f2M0TbM1Sj0000000000S0``,0*42

!AIVDM,2,2,4,B,3TPP,0*76

!AIVDM,1,1,,A,169AA5P000`dOEtAqKkcVnHn0L<F,0*5C

!AIVDM,1,1,,B,16:=t8PP008eQ6hAtGD:FOvj0@?J,0*27

!AIVDM,1,1,,A,169CHDPP1>8di00AtiAccOvl2L80,0*53

!AIVDM,1,1,,B,39NWrwP2QG8dU`dAu;MTGkVh0R<P,0*40

!AIVDM,1,1,,B,16:=03PP?w<tSF0l4Q@>4?v00l61,0*62

!AIVDM,1,1,,B,16:bC?1P008dwC0As;kP00Hl1P00,0*48

!AIVDM,1,1,,B,15RUC6001a8dQHLAudRKh9Hl20T:,0*5A

!AIVDM,1,1,,A,B6;bkd000J;HDH4O790VdNv021Mk,0*5B

!AIVDM,2,1,5,B,569LBjT000022222223JgOob`6:22222222222160i@:;uim,0*47

